nom_de_famille,prenom,id_an
Lamour,Jean-François,230329
Clément,Jean-Michel,336439
Reynès,Bernard,330788
Hurel,Sandrine,304016
Laffineur,Marc,1790
Courson (de),Charles,942
Paul,Christian,2338
Dufau,Jean-Pierre,1182
Féron,Hervé,333335
Touraine,Jean-Louis,334768
Giacobbi,Paul,267407
Le Fur,Marc,1874
Marsac,Jean-René,332206
Leonetti,Jean,1946
Fourneyron,Valérie,335543
Rugy (de),François,332747
Chartier,Jérôme,267895
Jung,Armand,1748
Gauquelin,Renaud,643165
Hillmeyer,Francis,216574
Lemasle,Patrick,1936
Lambert,Jérôme,1809
Verchère,Patrice,334843
Gaymard,Hervé,1445
Salen,Paul,2664
Lazaro,Thierry,1857
Got,Pascale,331973
Guégot,Françoise,335567
Perez,Jean-Claude,2365
Mariani,Thierry,2073
Reynier,Franck,331442
Lepetit,Annick,267965
Mamère,Noël,2045
Scellier,François,2700
Cherpion,Gérard,856
Fraysse,Jacqueline,1364
Leroy,Maurice,1960
Vercamer,Francis,267585
Cornut-Gentille,François,923
Jacquat,Denis,1699
Dosière,René,1155
Carrillon-Couvreur,Martine,267188
Pons,Josette,267598
Voisin,Michel,2936
Terrasse,Pascal,2799
Le Roux,Bruno,1886
Le Guen,Jean-Marie,1880
Mignon,Jean-Claude,2191
Rousset,Alain,331990
Daubresse,Marc-Philippe,1001
Ciotti,Éric,330240
Lurel,Victorin,268048
Bataille,Christian,394
Urvoas,Jean-Jacques,331594
Rogemont,Marcel,2603
Imbert,Françoise,1689
Fabius,Laurent,1268
Iborra,Monique,331835
Goasguen,Claude,1498
Fasquelle,Daniel,334149
Fort,Marie-Louise,336576
Fillon,François,1310
Benoit,Thierry,332228
Dolez,Marc,1141
Vigier,Philippe,331582
Vidalies,Alain,2912
Bouchet,Jean-Claude,336316
Bouillé,Marie-Odile,332843
Gorges,Jean-Pierre,267151
Dussopt,Olivier,330357
Bonnot,Marcel,267576
Asensi,François,295
Santini,André,2675
Lellouche,Pierre,1931
Morin,Hervé,2236
Couve,Jean-Michel,951
Christ,Jean-Louis,267358
Chanteguet,Jean-Paul,810
Pinville,Martine,330981
Moyne-Bressand,Alain,2250
Maquet,Jacqueline,334116
Zumkeller,Michel,267330
Reynaud,Marie-Line,2549
Martin,Philippe,267278
Lequiller,Pierre,1954
Dord,Dominique,1152
Le Bris,Gilbert,1866
Gérard,Bernard,1459
Pupponi,François,405480
Reitzer,Jean-Luc,2529
Herbillon,Michel,1630
Houillon,Philippe,1661
Claeys,Alain,872
Rochebloine,François,2597
Dumont,Jean-Louis,1199
Martin-Lalande,Patrice,2099
Perrut,Bernard,2377
Courtial,Édouard,267743
Fenech,Georges,267591
Tabarot,Michèle,267794
Bocquet,Alain,551
Cambadélis,Jean-Christophe,719
Ameline,Nicole,259
Lefait,Michel,1911
Bourdouleix,Gilles,267433
Lesterlin,Bernard,330130
Marty,Alain,267556
Myard,Jacques,2257
Deguilhem,Pascal,1032
Richard,Arnaud,345897
Taugourdeau,Jean-Charles,2792
Luca,Lionnel,2011
