"","nom","groupe_sigle","parti_ratt_financier","nom_circo","id_an","groups"
"1","Damien Abad","LES-REP","Les Républicains","Ain",605036,2
"2","Laurence Abeille","ECOLO","Europe Écologie Les Verts","Val-de-Marne",610427,2
"3","Ibrahim Aboubacar","SRC","Parti socialiste","Mayotte",610758,1
"4","Élie Aboud","LES-REP","Les Républicains","Hérault",267457,1
"5","Sylviane Alaux","SRC","Parti socialiste","Pyrénées-Atlantiques",608276,1
"6","Éric Alauzet","ECOLO","Europe Écologie Les Verts","Doubs",605963,2
"7","Yves Albarello","LES-REP","Les Républicains","Seine-et-Marne",243,1
"8","Brigitte Allain","ECOLO","Europe Écologie Les Verts","Dordogne",605922,1
"9","Jean-Pierre Allossery","SRC","Parti socialiste","Nord",607892,2
"10","Nicole Ameline","LES-REP","Les Républicains","Calvados",259,1
"11","Pouria Amirshahi","NI","Parti socialiste","Français établis hors de France",610968,5
"12","François André","SRC","Parti socialiste","Ille-et-Vilaine",606675,2
"13","Sylvie Andrieux","NI","Non rattachée","Bouches-du-Rhône",271,1
"14","Benoist Apparu","LES-REP","Les Républicains","Marne",333224,5
"15","Kader Arif","SRC","Parti socialiste","Haute-Garonne",590031,5
"16","Laurence Arribagé","LES-REP","Les Républicains","Haute-Garonne",642759,1
"17","François Asensi","GDR","Forces de Gauche","Seine-Saint-Denis",295,2
"18","Avi Assouly","SRC","Parti socialiste","Bouches-du-Rhône",642682,3
"19","Isabelle Attard","ECOLO","Europe Écologie Les Verts","Calvados",605625,5
"20","Julien Aubert","LES-REP","Les Républicains","Vaucluse",609726,1
"21","Olivier Audibert Troin","LES-REP","Les Républicains","Var",314,2
"22","Danielle Auroi","ECOLO","Europe Écologie Les Verts","Puy-de-Dôme",608186,3
"23","Joël Aviragnet","SRC","Parti socialiste","Haute-Garonne",642764,3
"24","Pierre Aylagas","SRC","Parti socialiste","Pyrénées-Orientales",608348,1
"25","Bruno Nestor Azerot","GDR","Mouvement initiative Populaire","Martinique",610634,3
"26","Jacques Alain Bénisti","LES-REP","Les Républicains","Val-de-Marne",267822,5
"27","Alexis Bachelay","SRC","Parti socialiste","Hauts-de-Seine",610066,3
"28","Guillaume Bachelay","SRC","Parti socialiste","Seine-Maritime",642987,5
